Date,Brent_Crude_GBP,WTI_Crude_GBP,GBP Curncy,GBPEUR Curncy,UKX Index,SPX Index,SX5E Index,Natural_Gas,CPI,RPI,GBP_IRS_2y,GBP_IRS_10y,Nationwide_HPI,RPI YOY
2012-10-01,69.8245733866102,56.870496226221775,1.5971454545454546,1.2373,5800.755909090909,880.2601516341654,1996.2888400696531,16.44126452876154,97.0,245.6,0.6881130434782609,2.0168590909090907,327.5,3.1932773109243673
2012-11-01,68.8744447683891,56.20995098091258,1.5902454545454545,1.239131818181818,5740.510454545454,869.1266860434571,1990.0131690443093,16.676242089557356,97.2,245.6,0.6860886363636364,1.9552272727272728,326.9,2.976939203354295
2012-12-01,68.15661430302066,56.73420481333755,1.6021409090909093,1.2281863636363637,5846.357,876.7970238956503,2067.5709934456204,16.30864666880396,97.6,246.8,0.6919684210526316,1.9807075,323.7,3.09106098579783
2013-01-01,71.27597030853988,61.17565990129481,1.575891304347826,1.1817,6300.871428571428,976.9382997298187,2319.113303271719,16.680243064656306,97.1,245.8,0.7394090909090909,2.1336454545454546,323.7,3.277310924369753
2013-02-01,75.08603625166573,62.05032222265348,1.54586,1.1686999999999999,6375.8335,1009.3860016071601,2301.6278771284337,16.88946605772838,97.8,247.6,0.6791875,2.22154,324.4,3.20967069612338
2013-03-01,71.3949814559054,62.39093123942831,1.534309523809524,1.1787857142857143,6419.2405,1032.538725345665,2300.9148033690844,17.689553234741858,98.1,248.7,0.600525,2.099604761904762,328.4,3.280730897009957
2013-04-01,66.78808977286737,60.04555008846402,1.5485545454545453,1.178190909090909,6386.6904545454545,1028.224924737802,2291.7045393168264,17.24482068321778,98.3,249.5,0.5823333333333333,2.072545454545455,330.3,2.88659793814433
2013-05-01,67.47949378164175,62.694715416407874,1.5304875000000002,1.1740208333333333,6606.908695652173,1076.6867760592052,2371.2309903643113,17.365168884452487,98.5,250.0,0.6267095238095238,2.172860869565217,335.0,3.135313531353133
2013-06-01,66.44121192638431,62.49103913847142,1.5553750000000002,1.17432,6326.408421052632,1046.9857751346137,2290.156430955787,16.84802700313429,98.3,249.7,0.7823599999999999,2.451736842105263,337.0,3.26716294458229
2013-07-01,69.59936838106603,66.36411876496285,1.543504761904762,1.1665666666666668,6526.791428571429,1074.640582965175,2353.596838912723,17.032202532270407,98.3,249.7,0.733754347826087,2.3752285714285715,340.8,3.139198678232133
2013-08-01,70.92345142817113,66.2445313656021,1.5573000000000001,1.172782608695652,6450.648636363636,1050.8083946853387,2373.8229406094756,16.714535063600753,98.7,251.0,0.8008095238095239,2.586271739130435,340.2,3.292181069958848
2013-09-01,70.06121791397285,64.81943871558882,1.587965,1.18752,6515.375,1056.3406624201414,2407.2550357046616,16.788783128091616,99.1,251.9,0.8771190476190476,2.6448125,343.4,3.1531531531531605
2013-10-01,68.58752347224643,62.15719620896823,1.5956318181818183,1.1787772727272727,6584.2131818181815,1070.7357302180098,2495.0206492860475,16.816744958062586,99.1,251.9,0.8377173913043477,2.562602272727273,346.5,2.5651465798045647
2013-11-01,67.54468534186522,59.83317989202121,1.5975173913043477,1.1882521739130434,6575.943913043478,1079.4217386216114,2478.627725047384,17.18971556409538,99.2,252.1,0.8163214285714285,2.5867826086956525,348.2,2.6465798045602607
2013-12-01,68.95323086397882,61.436636420923044,1.6054636363636363,1.1844772727272728,6557.442999999999,1088.1040149424814,2463.1367500047963,16.935917690160306,99.6,253.4,0.8938499999999999,2.6878625,350.8,2.6742301458670967
2014-01-01,64.86460707196501,57.55616668465826,1.6513347826086957,1.2218913043478261,6710.085,1123.0542222760507,2556.862603654996,14.835106442817729,99.0,252.6,0.9793522727272727,2.7405545454545455,352.1,2.7664768104149644
2014-02-01,65.50307699252193,59.4343021906793,1.661525,1.224615,6765.8105,1133.5255579251464,2573.2556762737677,13.699011450324251,99.5,254.2,0.9606,2.7444675,354.8,2.665589660743132
2014-03-01,65.2955098047408,58.79453123147414,1.6501608695652172,1.2172913043478262,6622.709130434782,1144.8335735382848,2559.8013408244246,13.615555645054746,99.7,254.8,1.0037380952380954,2.714021739130435,359.6,2.452754322476889
2014-04-01,64.85075746212688,59.07424628768561,1.6667500000000002,1.2263454545454544,6683.6089999999995,1135.2644367781609,2577.360635443076,12.3818809059547,100.1,255.7,1.0564375,2.6746849999999998,366.2,2.484969939879755
2014-05-01,65.52498841235652,59.237591483958425,1.6671363636363636,1.2344681818181817,6791.5244999999995,1145.8590760785598,2582.7581255085925,12.073847370286556,100.0,255.9,1.1259000000000001,2.6440595238095237,372.1,2.3600000000000025
2014-06-01,66.61915259200327,60.55911061132085,1.6807050000000001,1.2437850000000001,6737.722,1150.0069911138478,2580.212416133013,11.500382280055096,100.2,256.3,1.2564642857142858,2.74614,376.8,2.64317180616741
2014-07-01,64.22360280510121,59.14432540000051,1.6845086956521738,1.251686956521739,6726.353043478261,1154.2214605213235,2515.1135163674767,11.219888652864853,99.9,256.0,1.3455434782608697,2.696476086956522,376.9,2.5230276331597965
2014-08-01,62.39486199514361,56.77983879078723,1.6571190476190476,1.2491571428571429,6729.2815,1185.846635727525,2507.0683851587546,11.733465998074687,100.2,257.0,1.2629,2.537352380952381,377.6,2.3904382470119523
2014-09-01,60.18476117206723,56.77376220394556,1.63779,1.25942,6713.692,1201.927292265797,2548.5473471915643,13.218269741541954,100.3,257.6,1.242693181818182,2.575745,375.8,2.262802699483929
2014-10-01,54.35909978749612,53.10956576711842,1.6197759999999999,1.2538639999999999,6481.7396,1190.981469042633,2432.967849782752,13.771039946264175,100.4,257.7,1.1067717391304348,2.383512,377.7,2.3025009924573174
2014-11-01,49.66937754701961,51.597419416160726,1.6031809523809524,1.2498285714285715,6685.894285714286,1248.7043318640324,2521.590008534504,13.915043900816235,100.1,257.1,1.027675,2.315842857142857,377.8,1.9833399444664928
2014-12-01,39.74386343444255,43.75405711824201,1.5918523809523808,1.2612095238095238,6565.031052631579,1260.8709978491668,2479.01461500338,13.679032214640628,100.1,257.5,0.9590119047619048,2.1885947368421053,376.2,1.617995264404102
2015-01-01,32.81812498652698,31.737054014432232,1.5161772727272727,1.3362636363636364,6641.765238095239,1339.5036560248711,2495.6648521479906,13.09920326795902,99.3,255.4,0.8582738095238095,1.6847285714285714,375.9,1.1084718923198777
2015-02-01,38.343255354630735,32.75920698361236,1.5333857142857146,1.3623714285714286,6746.840476190476,1356.2327995006378,2536.801725282945,13.938964817972053,99.5,256.7,0.9528874999999999,1.85645,375.0,0.9834775767112511
2015-03-01,37.8662611960376,31.63511270854179,1.5036772727272727,1.3775681818181817,6791.14,1380.4315178849427,2615.694574399803,13.821671518408909,99.7,257.1,0.9472159090909091,1.7830454545454544,377.9,0.9026687598116213
2015-04-01,40.40937730698577,35.57204662901094,1.5129090909090908,1.3860363636363635,6886.650952380953,1381.8137844009134,2620.0844133697137,13.690118518264175,99.9,258.0,0.9236625,1.8114318181818183,385.1,0.8994915917090386
2015-05-01,42.50505175153095,36.18676826728779,1.543547619047619,1.3840142857142856,6864.994500000001,1360.2165388946307,2568.111738455769,13.123987721544372,100.1,258.5,1.009907894736842,1.97163,389.3,1.0160218835482588
2015-06-01,41.067581778193095,35.88547274394863,1.5523857142857143,1.3855238095238096,6687.8035,1340.9198131294074,2507.6916586472366,13.023502995389586,100.2,258.9,1.0611818181818182,2.089545,389.1,1.0144362075692415
2015-07-01,36.72600227290628,31.989864495096683,1.5456173913043478,1.402913043478261,6625.526086956522,1353.2188807726652,2518.626150556295,13.16907272174901,100.0,258.6,1.1199891304347827,2.051104347826087,390.2,1.0156250000000089
2015-08-01,31.19610973121891,29.152670861812865,1.5452476190476192,1.3769571428571428,6402.255,1311.027050680735,2434.9559587911235,12.478582566517307,100.3,259.8,1.08505,1.9583666666666668,389.6,1.089494163424129
2015-09-01,31.77485542776563,30.721787391489972,1.5276086956521737,1.3646565217391304,6280.524347826087,1302.1018926995873,2375.712633534159,12.59570229116266,100.2,259.6,1.0040227272727273,1.908904347826087,390.2,0.7763975155279502
2015-10-01,32.150955887584864,30.493891579795143,1.5331652173913042,1.378817391304348,6458.806956521739,1339.9154349626235,2458.240836507656,12.291281463752172,100.3,259.5,0.9403068181818182,1.899182608695652,392.6,0.6984866123399346
2015-11-01,30.159048034892173,28.998764388754296,1.523005,1.4092550000000001,6398.5115,1357.1241342643416,2446.82296674484,12.095331269431158,100.3,259.8,0.9948214285714285,1.897445,391.6,1.0501750291715242
2015-12-01,25.818624981523435,27.520853560594016,1.5068227272727273,1.3668136363636363,6324.1435,1363.2854659204506,2426.8432013725483,11.423042464426954,100.3,260.6,1.016488095238095,1.93055,393.0,1.20388349514564
2016-01-01,22.809737262284184,25.53439370392756,1.3996434782608695,1.2787869565217391,6123.662727272728,1413.405854019613,2340.6109297626735,9.77359282346888,99.5,258.8,0.8987999999999999,1.5042704545454546,392.7,1.3312451057165253
2016-02-01,24.047857237234165,26.087338589084563,1.3941842105263158,1.2604157894736843,6171.272222222222,1434.1174385658048,2327.359810254761,9.383225219216838,99.8,260.0,0.7576547619047619,1.3327578947368421,392.9,1.285547331515392
2016-03-01,28.183023201691814,28.33105667364843,1.411842857142857,1.2584333333333333,6253.627368421053,1452.882655900596,2395.2698077671066,9.0689606875459,100.2,261.1,0.8059404761904762,1.3756105263157896,399.5,1.5558148580318942
2016-04-01,30.652664594462856,29.52170915174361,1.413890909090909,1.2566272727272727,6357.307727272727,1468.0040770487506,2426.2904310962244,9.156711331721619,100.2,261.4,0.8201309523809525,1.4185181818181818,403.8,1.3178294573643323
2016-05-01,33.61015009025937,32.36383340975186,1.4176318181818182,1.2695227272727274,6305.2871428571425,1461.2274311511837,2356.760056571009,9.512007022259397,100.4,262.1,0.8050124999999999,1.3543619047619049,407.7,1.39264990328821
2016-06-01,35.85347860999223,33.84145346294205,1.3925363636363637,1.2447136363636364,6262.087727272727,1497.3449363163356,2335.1946595967675,10.313097748385875,100.6,263.1,0.7079545454545455,1.2061727272727274,408.9,1.6222479721900522
2016-07-01,34.979696245814864,32.96363872431442,1.3303363636363637,1.201240909090909,6630.369545454546,1608.5907870190038,2481.757122369671,10.837997225582047,100.6,263.4,0.5011309523809524,1.021027272727273,410.4,1.8561484918793325
2016-08-01,35.3906591577972,33.70312122734778,1.3325304347826086,1.1916739130434784,6658.116818181818,1603.181916066849,2513.3108342302567,9.386618285754288,100.9,264.4,0.42519318181818183,0.9362391304347826,411.2,1.770592763664344
2016-09-01,35.65048263938914,33.53674851297672,1.3251,1.1861,6681.4913636363635,1607.6954740980098,2522.149366525895,10.132168412675544,101.1,264.9,0.44025,0.9590090909090908,411.0,2.041602465331261
2016-10-01,40.40034202932408,37.170194031258845,1.27196,1.15244,6784.034,1663.0420767948676,2624.8130054493076,12.497444888204033,101.2,264.8,0.5575238095238095,1.13836,410.8,2.042389210019272
2016-11-01,36.390690549305376,33.94692962598968,1.2937,1.1929227272727272,6618.945454545454,1649.7697633586943,2519.8382124880454,12.435263198577724,101.4,265.5,0.6469772727272727,1.3169386363636364,408.8,2.193995381062351
2016-12-01,42.77816511331943,38.042859460859134,1.2837434782608697,1.197404347826087,6796.544285714285,1706.5102185400835,2631.6465325359563,12.452421029916872,101.9,267.1,0.6495124999999999,1.2937956521739131,410.7,2.49424405218726
2017-01-01,43.919237485997066,41.37892600792839,1.2624904761904763,1.1549476190476191,7262.714999999999,1861.898401873847,2915.2511554842727,15.273382543196929,101.4,265.5,0.6511309523809524,1.3432166666666667,409.4,2.5888717156105057
2017-02-01,44.43478985395118,41.71885215295164,1.260195,1.166255,7319.083684210526,1895.0219785209608,2901.7436152470946,14.172827471771809,102.1,268.4,0.6211875,1.266755,410.6,3.230769230769222
2017-03-01,41.89800020110098,39.47639490682899,1.2539666666666667,1.1528833333333333,7357.747916666667,1898.6645710943938,2998.3270206583497,12.974660410962546,102.5,269.3,0.6200543478260869,1.2575979166666666,413.6,3.1405591727307494
2017-04-01,41.96654569929708,39.54456687640259,1.282425,1.1669,7274.406111111111,1865.054371944696,3001.1383437598197,12.85975138247201,102.9,270.6,0.5625416666666667,1.1656024999999999,414.3,3.5195103289977223
2017-05-01,39.772653346506715,38.58936323901202,1.2921047619047619,1.1528809523809525,7446.075999999999,1868.6282809148604,3087.3013775014974,12.502856174127118,103.3,271.7,0.5560833333333333,1.1816190476190476,416.4,3.6627241510873576
2017-06-01,37.17608667005237,37.02991905405625,1.2791458333333334,1.1391208333333334,7407.605416666666,1904.3215687551915,3081.732622746343,12.544341113047443,103.3,272.3,0.5478977272727273,1.2009354166666666,421.5,3.4967692892436295
2017-07-01,37.883154467019764,37.71573319505854,1.2973727272727273,1.130131818181818,7403.319090909091,1896.781607584559,3082.6283337824634,12.210866716651134,103.2,272.9,0.6325595238095237,1.2608227272727273,422.3,3.6066818526955204
2017-08-01,40.22659494215272,37.64655701182327,1.2894454545454546,1.1084136363636363,7382.190476190476,1901.9412855420583,3124.2053549093503,12.925453037128952,103.8,274.7,0.5609204545454545,1.1779976190476191,419.9,3.895612708018159
2017-09-01,42.128371541730516,38.37052990662311,1.3177523809523808,1.136995238095238,7333.500952380952,1876.191061258709,3096.748321599538,13.08866468156457,104.1,275.1,0.6953095238095238,1.3343619047619046,420.5,3.850509626274083
2017-10-01,44.33010950754809,39.701292210039185,1.3004499999999999,1.1329772727272727,7453.684090909091,1924.5970800317375,3141.5871296463465,13.548631767325299,104.2,275.3,0.818359090909091,1.3337636363636365,421.1,3.965256797583081
2017-11-01,47.84365411291802,41.49024720222013,1.3139863636363636,1.128490909090909,7393.842272727273,1934.11190328759,3138.1430550856335,14.337875375764936,104.6,275.8,0.8259409090909091,1.3133113636363636,418.9,3.879472693032019
2017-12-01,48.560852058708925,41.7421634844352,1.3198285714285714,1.1339714285714286,7506.967368421053,1959.5029657531284,3124.359792120579,14.302575180645471,104.9,278.1,0.8085815789473685,1.2582499999999999,421.2,4.118307749906402
2018-01-01,50.05801927011476,47.35147616655462,1.3799714285714284,1.1352761904761905,7599.9395,2031.9348989463663,3141.4346833998857,14.010652394459514,104.4,276.0,0.8623295454545455,1.508225,422.4,3.954802259887006
2018-02-01,47.80648345368591,46.56787365577433,1.3749285714285715,1.1306761904761904,7319.2654999999995,1981.8742272325835,3023.4416615426085,14.545264689074756,104.9,278.1,0.9999525,1.6199324999999998,419.7,3.614008941877812
2018-03-01,48.51254511594206,46.96014436471923,1.3753045454545454,1.134509090909091,7196.056666666666,1967.9859336940249,2983.1480404591725,14.672074992599041,105.0,278.3,1.0685090909090909,1.5378927272727274,422.2,3.341997772001485
2018-04-01,52.23507986940276,48.723387260363936,1.3738350000000001,1.139405,7392.5070000000005,1966.0274839562628,3035.5690031200497,15.218785370877868,105.4,279.7,1.13002,1.5684225,424.9,3.3628972653362768
